longitude,latitude,f1,f2,f3,f4,f5,f6,t1,id
14.25,52.17,11,2403.0,890,344,3.0,497.0,120800,1
14.11,52.2,15,5644.0,2659,783,6.7559,757.0,312000,2
14.26,52.1,52,2084.0,1438,516,2.3087,550.0,258600,3
11.47,53.09,32,3011.0,1287,525,5.0605,529.0,311000,4
11.46,53.03,33,2824.0,1797,493,3.6359,523.0,135100,5
13.87,53.32,26,4115.0,2184,825,3.9536,883.0,191000,6
13.86,53.31,48,1252.0,673,308,2.3357,305.0,175000,7
13.41,52.36,32,1615.0,1307,345,1.4583,382.0,58600,8
13.47,52.16,27,2287.0,1101,466,4.675,491.0,316900,9
13.46,52.3,25,3807.0,1678,600,6.6818,600.0,411300,10
13.41,52.33,33,778.0,258,130,5.738,143.0,497600,11
13.44,52.22,11,2137.0,916,338,5.5221,339.0,394900,12
13.4,52.16,40,1361.0,559,229,6.3516,240.0,354300,13
13.43,52.29,35,1090.0,1605,330,2.1518,345.0,152800,14
13.54,52.27,11,7217.0,4197,1502,2.8827,1583.0,166700,15
13.45,52.21,37,1389.0,826,249,5.015,252.0,220900,16
13.54,52.26,22,1046.0,527,164,4.375,195.0,213500,17
13.43,52.36,35,2506.0,1316,398,3.8472,406.0,197600,18
12.34,52.61,17,3095.0,1173,424,13.2986,442.0,500001,19
12.31,52.52,36,1606.0,889,294,4.7931,318.0,272600,20
12.35,52.6,20,1176.0,864,318,2.375,344.0,177700,21
12.34,52.53,24,3956.0,3196,795,4.3512,812.0,191400,22
12.35,52.53,5,403.0,208,54,12.632,48.0,500001,23
12.34,52.6,49,3273.0,1431,539,4.275,579.0,227600,24
14.28,52.34,36,2959.0,1125,520,4.2614,529.0,268800,25
14.14,52.5,21,5477.0,3384,1222,3.6625,1275.0,228100,26
12.18,53.15,27,1887.0,1339,428,2.9185,487.0,224500,27
12.17,53.16,20,1511.0,791,320,2.0221,328.0,70900,28
12.17,53.15,46,1406.0,771,239,4.7143,235.0,219300,29
12.98,52.23,36,1520.0,831,291,4.0473,300.0,212100,30
13.11,52.39,40,1475.0,1222,298,1.5303,347.0,95300,31
13.03,52.31,34,3225.0,1958,656,3.6811,726.0,273000,32
12.99,52.35,28,1913.0,858,371,1.9962,486.0,50800,33
12.99,52.29,52,2232.0,731,253,7.1155,291.0,500001,34
12.84,52.25,25,1093.0,893,252,2.13,262.0,50800,35
13.23,51.69,26,812.0,628,445,2.3304,507.0,500001,36
13.24,51.58,31,1516.0,596,255,4.3362,238.0,159400,37
13.24,51.59,10,1088.0,533,201,3.6597,203.0,87500,38
13.12,51.48,16,0.0,830,279,3.25,296.0,151400,39
13.22,51.69,18,7798.0,3710,1227,5.8819,1161.0,260500,40
13.86,52.55,31,2358.0,2302,574,1.9688,580.0,53900,41
13.92,52.59,13,1939.0,928,244,8.1111,247.0,379800,42
13.88,52.58,46,928.0,790,235,1.6806,236.0,92500,43
13.82,52.54,35,1762.0,686,339,3.5982,350.0,271700,44
13.9,52.57,32,1083.0,471,178,2.9241,188.0,187500,45
13.87,52.56,34,1816.0,872,339,4.85,335.0,329400,46
13.79,52.53,38,1300.0,608,292,4.5568,269.0,286900,47
13.89,52.58,40,1867.0,2223,609,1.7207,633.0,105100,48
13.92,52.53,23,1932.0,997,482,3.662,552.0,211900,49
13.83,52.54,19,2364.0,1264,390,5.0176,373.0,274200,50
13.89,52.59,31,1939.0,1584,466,2.5234,505.0,199500,51
14.06,52.28,15,1701.0,723,352,3.8906,346.0,128700,52
14.06,52.29,25,2224.0,985,516,3.1305,580.0,268800,53
14.08,52.34,36,873.0,1086,217,2.25,240.0,126600,54
14.08,52.38,30,1762.0,940,398,2.8631,416.0,188600,55
14.0,52.22,9,4288.0,3156,900,2.7827,1017.0,105800,56
14.06,52.36,52,1252.0,844,0,2.3929,299.0,111900,57
13.93,52.25,8,864.0,626,172,4.8984,156.0,151500,58
14.07,52.37,30,1653.0,800,291,3.3482,285.0,220000,59
14.06,52.37,45,2005.0,909,364,4.6406,368.0,268900,60
14.07,52.38,34,1078.0,575,206,4.5083,205.0,188000,61
14.07,52.35,46,3745.0,1502,808,3.8643,798.0,195800,62
13.07,51.99,30,1715.0,842,263,3.0313,271.0,87900,63
13.08,51.99,22,4899.0,1701,826,5.2449,847.0,387000,64
14.55,52.55,18,2405.0,872,367,5.2155,390.0,248300,65
11.86,53.08,32,4040.0,2526,798,3.2143,832.0,160100,66
11.87,53.07,46,271.0,150,55,2.2321,74.0,237500,67
11.85,53.07,24,1605.0,1966,250,3.0833,277.0,162500,68
12.88,52.61,26,4931.0,2249,818,4.275,853.0,285400,69
12.87,52.6,36,3157.0,1842,561,4.5833,582.0,190700,70
12.88,52.6,30,1433.0,1110,346,2.3464,397.0,191700,71
12.94,52.55,22,1468.0,611,235,2.3036,285.0,73000,72
12.34,52.75,41,1512.0,1690,367,3.055,400.0,167000,73
12.45,52.85,36,2526.0,996,441,5.611,452.0,456600,74
13.88,51.94,34,1851.0,784,290,5.2336,291.0,235600,75
13.9,52.08,33,1177.0,1533,430,2.3981,468.0,183300,76
13.92,51.94,22,4982.0,2237,1220,3.7105,1358.0,272600,77
13.9,51.94,41,1440.0,1014,322,2.875,325.0,168600,78
13.7,52.11,33,2829.0,1010,363,10.3587,360.0,500001,79
13.88,51.95,16,4151.0,1558,604,5.806,637.0,304900,80
12.08,52.83,14,1463.0,881,245,4.7857,261.0,152500,81
12.07,52.82,23,1100.0,940,267,3.6953,285.0,150000,82
11.95,52.96,34,2578.0,1628,617,2.34,645.0,210900,83
12.09,52.91,27,1513.0,839,350,1.2012,374.0,64600,84
13.54,51.29,50,180.0,356,76,2.1944,89.0,158300,85
13.51,51.46,38,1460.0,569,176,2.7171,311.0,131300,86
13.52,51.46,26,2107.0,2821,572,0.844,809.0,350000,87
13.56,51.5,39,1529.0,1154,357,1.2091,358.0,97900,88
13.53,51.29,29,1315.0,926,249,2.9375,279.0,144800,89
13.45,51.41,52,1721.0,688,196,15.0001,195.0,500001,90
13.62,51.39,40,979.0,934,292,2.6354,296.0,151800,91
12.39,52.94,9,1150.0,377,243,3.8317,287.0,237500,92
12.4,52.94,30,2862.0,1387,542,5.1104,544.0,278100,93
12.46,52.89,26,1725.0,1130,404,3.2708,431.0,128100,94
12.58,52.74,33,2880.0,1416,736,2.6781,836.0,328800,95
12.29,52.27,36,1427.0,1835,410,2.48,415.0,138900,96
12.41,52.39,31,2567.0,1198,499,3.4659,537.4777164400161,163000,97
12.38,52.38,16,8476.0,2711,1427,2.1848,1758.0,97900,98
12.46,52.5,11,2497.0,1101,405,4.8036,427.0,141600,99
13.43,51.87,2,6900.0,1950,980,3.0417,1238.0,146300,100
12.57,52.41,30,511.0,0,149,2.3611,153.0,156800,101
12.52,52.41,52,1813.0,637,277,4.0114,271.0,263400,102
12.55,52.43,33,2565.0,2301,638,2.5477,745.0,83000,103
12.61,52.41,22,1892.0,1015,404,4.1379,442.0,212500,104
12.57,52.4,38,1241.0,1055,263,2.3409,298.0,115500,105
12.52,52.44,0,3784.0,1615,525,4.2333,577.0,220300,106
12.56,52.41,52,2097.0,915,413,2.9899,444.0,228100,107
12.56,52.4,13,3239.0,2751,813,2.6111,849.0,107000,108
12.55,52.41,23,4911.0,1480,606,6.777,693.0,500000,109
12.5,52.43,9,2254.0,694,243,5.6856,400.0,138100,110
12.51,52.43,38,2065.0,812,343,3.125,374.0,216500,111
12.55,52.42,36,1181.0,775,218,4.7228,220.0,183800,112
12.49,53.16,36,1412.0,792,268,2.3056,260.0,90400,113
12.48,53.16,29,3110.0,1212,642,4.2031,650.0,394400,114
12.48,53.15,41,2036.0,1412,454,2.0469,510.0,89300,115
13.44,51.41,25,1321.0,396,278,3.1131,295.0,77100,116
13.39,51.52,13,5591.0,3188,971,5.5925,1013.0,208600,117
13.4,51.52,26,1405.0,627,215,4.2188,204.0,94200,118
13.71,51.62,36,3359.0,1298,483,8.1586,493.0,404300,119
13.71,51.64,14,2063.0,934,529,1.7788,0.0,85800,120
13.71,51.63,28,3857.0,2328,830,4.0156,857.0,196000,121
13.7,51.64,16,5819.0,2306,914,4.6315,986.0,277500,122
13.87,51.47,42,3200.0,1668,628,3.375,685.0,260400,123
13.65,51.7,33,2014.0,1354,427,3.9773,410.0,131300,124
13.86,51.47,25,2907.0,1841,633,2.6768,680.0,82400,125
13.76,51.47,31,3127.0,1345,580,1.5774,664.0,58000,126
13.76,51.49,37,1371.0,640,260,1.8242,319.0,70000,127
13.8,51.5,13,3334.0,2240,561,7.105,565.0,273900,128
13.74,51.47,36,1940.0,1076,382,3.3906,399.0,147800,129
13.7,52.48,50,1509.0,690,259,6.2344,291.0,500001,130
13.73,52.56,11,1716.0,722,415,2.0926,404.0,166100,131
13.7,52.46,22,1707.0,822,297,3.6625,296.0,126600,132
13.76,52.53,5,7294.0,3123,930,4.9904,1139.0,154100,133
13.74,52.39,7,1777.0,4479,504,1.4653,513.0,310000,134
13.79,52.47,33,2517.0,1158,443,5.0785,496.0,289500,135
13.75,52.43,26,5761.0,2681,0,4.0341,1326.0,243300,136
13.7,52.52,42,819.0,899,228,1.1346,233.0,85400,137
13.85,52.48,34,981.0,508,304,2.2328,313.0,266700,138
13.75,52.45,9,1503.0,715,349,4.6371,381.0,234300,139
13.75,52.52,52,2995.0,1392,503,1.7794,555.0,98800,140
13.88,52.34,38,1214.0,723,236,2.5469,254.0,87800,141
13.72,52.4,35,1583.0,933,318,2.4063,340.0,70700,142
13.75,52.42,16,13290.0,6931,2023,5.228,2062.0,187800,143
13.77,52.48,45,934.0,893,192,2.53,228.0,140300,144
13.82,52.43,32,2458.0,967,409,7.2893,359.0,293500,145
13.78,52.47,50,1741.0,987,383,1.5066,424.0,59300,146
13.75,52.44,33,1221.0,488,199,3.7574,236.0,92700,147
13.77,52.52,42,882.0,1248,281,2.761,292.0,120000,148
13.71,52.52,8,10110.0,5804,1703,4.2654,1761.0,137600,149
13.71,52.47,24,2069.0,909,374,2.5326,436.0,139100,150
13.59,52.68,5,3201.0,2061,536,5.0829,532.0,179400,151
13.48,52.79,14,1979.0,1756,382,2.6923,432.0,71400,152
13.53,52.66,33,0.0,1704,591,3.6849,641.0,211400,153
13.6,52.68,49,2334.0,1334,447,1.89,530.0,124000,154
13.54,52.68,52,1927.0,705,288,7.8864,279.0,357300,155
13.57,52.67,31,2051.0,1581,538,2.052,549.0,108900,156
13.62,52.77,44,1521.0,1074,285,2.0673,289.0,99800,157
13.58,52.68,23,2556.0,1200,548,1.8899,662.0,147700,158
13.57,52.57,25,2445.0,983,363,4.9286,368.0,180100,159
13.52,52.65,28,3250.0,1328,473,7.4729,485.0,431600,160
13.47,52.75,35,2720.0,1158,445,5.0796,490.0,228300,161
13.54,52.66,16,3260.0,1973,535,4.6563,501.0,162000,162
13.6,52.67,33,2040.0,2649,561,2.3375,576.0,170600,163
13.47,52.76,18,1795.0,483,208,4.5375,416.0,169800,164
13.44,52.69,4,5027.0,1869,686,3.5507,797.0,186100,165
13.63,52.77,32,2159.0,981,369,4.3173,393.0,175400,166
13.96,51.33,8,2371.0,1094,396,5.3245,375.0,174500,167
13.99,51.51,36,1254.0,629,245,4.9643,229.0,236100,168
13.98,51.51,26,1272.0,562,284,4.5644,306.0,280200,169
13.76,51.38,12,4025.0,2042,588,7.9125,574.0,344900,170
13.87,51.46,52,249.0,396,85,1.2434,78.0,500001,171
13.9,51.52,52,1350.0,490,257,3.125,266.0,171100,172
11.75,52.89,29,1387.0,671,239,3.3438,236.0,74000,173
11.76,53.0,31,2668.0,1398,721,1.125,812.0,110400,174
11.75,53.0,12,4602.0,2299,860,3.0625,930.0,90500,175
11.76,53.01,37,2817.0,1341,662,2.1553,716.0,255400,176
11.72,53.0,11,2393.0,1905,711,1.3448,726.0,91300,177
12.85,52.94,17,5239.0,2440,985,4.375,1045.0,248100,178
12.99,52.98,22,4249.0,2405,846,2.1549,922.0,146500,179
14.0,53.02,33,1541.0,880,272,2.5074,313.0,117700,180
13.81,52.84,35,3315.0,2425,687,3.5521,744.0,182800,181
13.82,52.83,36,1485.0,623,261,3.3036,236.0,141000,182
13.99,53.01,52,2229.0,1079,472,5.0196,498.0,324300,183
13.8,52.83,46,1033.0,462,224,3.2708,223.0,384700,184
13.81,52.83,30,2972.0,1940,590,2.3594,635.0,72300,185
13.77,52.83,17,2056.0,1259,367,3.9338,366.0,84700,186
13.79,52.84,10,1897.0,1353,357,3.7679,354.0,131300,187
14.68,51.95,21,7906.0,4868,2117,1.8937,2292.0,109800,188
13.55,51.61,29,1871.0,1066,309,4.5714,315.0,100800,189
13.39,51.72,52,5604.0,2023,1196,4.4085,1268.0,400000,190
13.56,51.64,18,3303.0,986,522,1.5957,814.0,101400,191
13.3,52.67,17,4234.0,2191,725,3.6445,770.0,197600,192
13.32,52.63,2,4678.0,1970,712,6.1078,817.0,219000,193
13.24,52.74,26,186.0,102,39,2.5625,48.0,103100,194
13.44,52.72,4,6159.0,2649,1241,3.62,1510.0,139300,195
13.32,52.67,52,2259.0,766,385,2.2981,417.0,105400,196
13.29,52.69,26,2056.0,933,367,2.7051,413.0,193800,197
13.28,52.67,25,474.0,300,104,3.8062,92.0,340900,198
14.01,51.52,52,2869.0,500,335,5.0376,594.0,500001,199
14.0,51.52,52,2680.0,1587,713,2.5933,740.0,359600,200
14.01,51.59,42,626.0,625,156,3.125,143.0,166300,201
13.89,51.56,5,5526.0,3207,1012,4.0767,537.4777164400161,143100,202
14.0,51.6,37,1982.0,794,340,5.9275,331.0,336900,203
12.87,52.1,25,2402.0,1527,461,2.3194,478.0,52900,204
12.73,52.32,10,3699.0,2310,759,2.5365,838.0,139500,205
12.75,52.32,37,1244.0,484,157,2.3661,247.0,77500,206
12.76,52.19,29,2709.0,1238,793,3.1563,799.0,330000,207
14.67,52.14,17,2724.0,2213,554,3.8529,567.0,147700,208
14.64,52.15,44,1798.0,835,314,4.75,353.0,355800,209
14.62,52.14,17,1530.0,883,344,2.8835,404.0,196500,210
14.58,52.26,26,32.0,27,10,2.225,8.0,150000,211
14.65,52.09,45,1072.0,996,243,2.8194,275.0,165000,212
14.63,52.15,34,80.0,125,35,0.8907,26.0,154200,213
14.66,52.14,39,1065.0,497,208,4.5972,248.0,146300,214
14.65,52.14,31,1636.0,1468,339,3.2219,380.0,114700,215
14.64,52.13,27,1426.0,792,353,2.0673,364.0,118800,216
14.07,51.78,10,2554.0,922,439,2.1094,501.0,164000,217
14.32,51.78,18,6154.0,3010,1034,5.6392,1070.0,271500,218
14.32,51.72,11,3835.0,1456,658,2.5374,727.0,97200,219
14.15,51.84,12,2772.0,1335,565,3.8068,578.0,161000,220
14.09,51.78,19,2610.0,1290,452,4.1298,474.0,222800,221
14.25,51.75,41,3257.0,1237,638,4.2415,679.0,409600,222
14.12,51.91,16,2205.0,1333,402,3.475,393.0,279500,223
14.32,51.76,33,3626.0,1348,480,7.6107,502.0,423200,224
13.62,52.29,47,859.0,913,234,2.6442,239.0,136100,225
13.59,52.36,28,3436.0,1503,498,4.7679,537.0,204000,226
13.63,52.33,18,2334.0,962,557,1.808,573.0,97000,227
13.62,52.37,8,1266.0,375,183,9.802,537.4777164400161,500001,228
13.64,52.54,0,6298.0,4451,1456,2.569,1512.0,88300,229
13.6,52.55,33,399.0,71,27,1.875,87.0,71300,230
13.63,52.54,27,2049.0,1230,336,4.6477,417.0,265900,231
13.61,52.37,43,2018.0,1111,367,1.8913,408.0,91200,232
13.67,52.51,40,1259.0,1499,327,1.8382,362.0,126400,233
