longitude,latitude,f1,f2,f3,f4,f5,f6,t1,id,f2_div_f4,f6_div_f2,f5_cat
14.25,52.17,11.0,2403.0,890.0,344.0,3.0,497.0,120800.0,1,6.99,0.21,2
14.11,52.2,15.0,5644.0,2659.0,783.0,6.7559,757.0,312000.0,2,7.21,0.13,5
14.26,52.1,52.0,2084.0,1438.0,516.0,2.3087,550.0,258600.0,3,4.04,0.26,2
11.47,53.09,32.0,3011.0,1287.0,525.0,5.0605,529.0,311000.0,4,5.74,0.18,4
11.46,53.03,33.0,2824.0,1797.0,493.0,3.6359,523.0,135100.0,5,5.73,0.19,3
13.87,53.32,26.0,4115.0,2184.0,825.0,3.9536,883.0,191000.0,6,4.99,0.21,3
13.86,53.31,48.0,1252.0,673.0,308.0,2.3357,305.0,175000.0,7,4.06,0.24,2
13.41,52.36,32.0,1615.0,1307.0,345.0,1.4583,382.0,58600.0,8,4.68,0.24,1
13.47,52.16,27.0,2287.0,1101.0,466.0,4.675,491.0,316900.0,9,4.91,0.21,3
13.46,52.3,25.0,3807.0,1678.0,600.0,6.6818,600.0,411300.0,10,6.34,0.16,5
13.41,52.33,33.0,778.0,258.0,130.0,5.738,143.0,191930.9652894885,11,5.98,0.18,4
13.44,52.22,11.0,2137.0,916.0,338.0,5.5221,339.0,394900.0,12,6.32,0.16,4
13.4,52.16,40.0,1361.0,559.0,229.0,6.3516,240.0,354300.0,13,5.94,0.18,4
13.43,52.29,35.0,1090.0,1605.0,330.0,2.1518,345.0,152800.0,14,3.3,0.32,2
13.54,52.27,11.0,2221.4102736512973,1225.2837321251593,430.14788333569305,2.8827,457.5068800028618,166700.0,15,5.16,0.21,2
13.45,52.21,37.0,1389.0,826.0,249.0,5.015,252.0,220900.0,16,5.58,0.18,4
13.54,52.26,22.0,1046.0,527.0,164.0,4.375,195.0,213500.0,17,6.38,0.19,3
13.43,52.36,35.0,2506.0,1316.0,398.0,3.8472,406.0,197600.0,18,6.3,0.16,3
12.34,52.61,17.0,3095.0,1173.0,424.0,3.665552516894221,442.0,191930.9652894885,19,7.3,0.14,3
12.31,52.52,36.0,1606.0,889.0,294.0,4.7931,318.0,272600.0,20,5.46,0.2,3
12.35,52.6,20.0,1176.0,864.0,318.0,2.375,344.0,177700.0,21,3.7,0.29,2
12.34,52.53,24.0,3956.0,1225.2837321251593,795.0,4.3512,812.0,191400.0,22,4.98,0.21,3
12.35,52.53,5.0,403.0,208.0,54.0,3.665552516894221,48.0,191930.9652894885,23,7.46,0.12,3
12.34,52.6,49.0,3273.0,1431.0,539.0,4.275,579.0,227600.0,24,6.07,0.18,3
14.28,52.34,36.0,2959.0,1125.0,520.0,4.2614,529.0,268800.0,25,5.69,0.18,3
14.14,52.5,21.0,5477.0,1225.2837321251593,430.14788333569305,3.6625,457.5068800028618,228100.0,26,5.179789114699331,0.2050331686661962,3
12.18,53.15,27.0,1887.0,1339.0,428.0,2.9185,487.0,224500.0,27,4.41,0.26,2
12.17,53.16,20.0,1511.0,791.0,320.0,2.0221,328.0,70900.0,28,4.72,0.22,2
12.17,53.15,46.0,1406.0,771.0,239.0,4.7143,235.0,219300.0,29,5.88,0.17,3
12.98,52.23,36.0,1520.0,831.0,291.0,4.0473,300.0,212100.0,30,5.22,0.2,3
13.11,52.39,40.0,1475.0,1222.0,298.0,1.5303,347.0,95300.0,31,4.95,0.24,1
13.03,52.31,34.0,3225.0,1958.0,656.0,3.6811,726.0,273000.0,32,4.92,0.23,3
12.99,52.35,28.0,1913.0,858.0,371.0,1.9962,486.0,50800.0,33,5.16,0.25,2
12.99,52.29,52.0,2232.0,731.0,253.0,7.1155,291.0,191930.9652894885,34,5.179789114699331,0.13,5
12.84,52.25,25.0,1093.0,893.0,252.0,2.13,262.0,50800.0,35,4.34,0.24,2
13.23,51.69,26.0,812.0,628.0,445.0,2.3304,507.0,191930.9652894885,36,5.179789114699331,0.2050331686661962,2
13.24,51.58,31.0,1516.0,596.0,255.0,4.3362,238.0,159400.0,37,5.95,0.16,3
13.24,51.59,10.0,1088.0,533.0,201.0,3.6597,203.0,87500.0,38,5.41,0.19,3
13.22,51.69,18.0,2221.4102736512973,1225.2837321251593,430.14788333569305,5.8819,1161.0,260500.0,40,5.16,0.2050331686661962,4
13.86,52.55,31.0,2358.0,2302.0,574.0,1.9688,580.0,53900.0,41,4.11,0.25,2
