longitude,latitude,f1,f2,f3,f4,f5,f6,t1,id,f2_div_f4,f6_div_f2,f5_cat
13.28,52.63,34.0,3850.0,1619.0,602.0,5.0465,608.0,0.0,1,6.4,0.16,4
13.31,52.45,21.0,5041.0,2719.0,441.2774725274725,3.5335,470.986642253378,0.0,2,5.202722298221614,0.09,3
13.39,52.4,52.0,1509.0,674.0,244.0,4.9306,225.0,0.0,3,6.18,0.15,4
13.46,52.59,42.0,1291.0,1535.0,332.0,1.9083,345.0,0.0,4,3.89,0.27,2
13.22,52.51,27.0,4742.0,1682.0,696.0,6.194,775.0,0.0,5,6.81,0.16,4
13.47,52.52,30.0,249.0,167.0,45.0,4.5,44.0,0.0,6,5.53,0.18,3
13.66,52.41,14.0,362.0,88.0,39.0,3.5893,78.0,0.0,7,5.202722298221614,0.22,3
13.43,52.5,52.0,2773.0,1721.0,949.0,1.1859,998.0,0.0,8,2.92,0.20391541609822647,1
13.52,52.49,27.0,4336.0,2009.0,734.0,6.3923,754.0,0.0,9,5.91,0.17,4
13.39,52.53,23.0,1771.0,1105.0,338.0,3.7049,356.0,0.0,10,5.24,0.2,3
13.35,52.5,19.0,2885.0,1520.0,784.0,3.375,859.0,0.0,11,3.68,0.3,3
13.16,52.53,25.0,3472.0,2267.0,944.0,2.7727,956.0,0.0,12,3.68,0.28,2
13.18,52.51,36.0,1651.0,1062.0,331.0,4.575,344.0,0.0,13,4.99,0.21,3
13.15,52.53,16.0,3290.0,1497.0,655.0,2.6875,686.0,0.0,14,5.02,0.21,2
13.14,52.46,22.0,3294.0,1337.0,655.0,5.2391,744.0,0.0,15,5.03,0.23,4
13.34,52.43,26.0,1848.0,1952.0,327.0,4.087,339.0,0.0,16,5.65,0.18,3
13.37,52.46,52.0,3011.0,1303.0,535.0,5.1039,542.0,0.0,17,5.63,0.18,4
13.35,52.52,15.0,1448.0,949.0,300.0,0.8585,378.0,0.0,18,4.83,0.26,1
13.48,52.47,17.0,338.0,200.0,46.0,7.8118,47.0,0.0,19,7.35,0.14,5
13.59,52.51,12.0,5535.0,1255.2263374485597,441.2774725274725,2.5949,470.986642253378,0.0,20,5.202722298221614,0.09,2
13.49,52.52,25.0,3011.0,893.0,654.0,2.3387,714.0,0.0,21,4.6,0.24,2
13.4,52.59,20.0,3118.0,1405.0,519.0,6.0,500.0,0.0,22,6.01,0.16,4
13.44,52.55,31.0,4033.0,2585.0,715.0,3.5096,715.0,0.0,23,5.64,0.18,3
13.17,52.52,18.0,3297.0,1554.0,578.0,2.6847,662.0,0.0,24,5.7,0.2,2
13.54,52.42,52.0,62.0,44.0,16.0,0.4999,9.0,0.0,25,3.88,0.15,1
13.29,52.47,38.0,1706.0,506.0,211.0,2.5625,355.0,0.0,26,8.09,0.21,2
13.21,52.44,16.0,3137.0,1384.0,436.0,6.1306,462.0,0.0,27,7.19,0.15,4
13.44,52.46,21.0,1283.0,684.0,289.0,2.3203,278.0,0.0,28,4.44,0.22,2
13.32,52.61,5.0,2133.0,1182.0,438.0,3.0268,487.0,0.0,29,4.87,0.23,2
13.33,52.59,30.0,2008.0,1052.0,496.0,3.0119,513.0,0.0,30,4.05,0.26,2
13.4,52.44,45.0,531.0,722.0,166.0,2.1406,164.0,0.0,31,3.2,0.31,2
13.58,52.45,37.0,1962.0,1267.0,382.0,4.7344,367.0,0.0,32,5.14,0.19,3
13.48,52.53,6.0,2301.928473177441,1255.2263374485597,441.2774725274725,3.8661,470.986642253378,0.0,33,5.22,0.2,3
13.54,52.54,28.0,590.0,315.0,99.0,1.8958,129.0,0.0,34,5.96,0.22,2
13.4,52.42,26.0,395.0,193.0,72.0,7.3718,74.0,0.0,35,5.49,0.19,5
13.46,52.44,24.0,1003.0,1098.0,227.0,1.7552,251.0,0.0,36,4.42,0.25,2
13.35,52.57,36.0,1599.0,1086.0,314.0,2.6667,345.0,0.0,37,5.09,0.22,2
13.32,52.41,27.0,1580.0,1066.0,306.0,4.7071,303.0,0.0,38,5.16,0.19,3
13.38,52.47,12.0,3098.0,1433.0,434.0,5.2508,453.0,0.0,39,7.14,0.15,4
13.37,52.51,20.0,2301.928473177441,1255.2263374485597,441.2774725274725,3.7716,470.986642253378,0.0,40,5.22,0.2,3
13.34,52.55,23.0,2111.0,979.0,288.0,3.605462907608696,306.0,0.0,41,7.33,0.14,3
13.32,52.48,32.0,1814.0,903.0,306.0,4.1776,320.0,0.0,42,5.93,0.18,3
13.58,52.52,8.0,5278.0,2389.0,441.2774725274725,3.3409,470.986642253378,0.0,43,5.202722298221614,0.09,3
13.48,52.54,10.0,2050.0,1302.0,471.0,2.7961,473.0,0.0,44,4.35,0.23,2
13.71,52.43,12.0,4011.0,1673.0,1088.0,5.3081,470.986642253378,0.0,45,3.69,0.12,4
13.46,52.56,35.0,1051.0,517.0,234.0,3.7,259.0,0.0,46,4.49,0.25,3
13.45,52.5,14.0,5106.0,2738.0,441.2774725274725,3.9909,470.986642253378,0.0,47,5.202722298221614,0.09,3
13.6,52.48,17.0,2358.0,1387.0,364.0,6.299,396.0,0.0,48,6.48,0.17,4
13.62,52.53,16.0,5648.0,2524.0,1008.0,2.6739,1089.0,0.0,49,5.6,0.19,2
13.49,52.54,16.0,952.0,530.0,143.0,5.0864,143.0,0.0,50,6.66,0.15,4
13.58,52.43,14.0,2928.0,1633.0,559.0,1.8385,600.0,0.0,51,5.24,0.2,2
13.57,52.45,45.0,1672.0,838.0,314.0,4.1419,344.0,0.0,52,5.32,0.21,3
13.57,52.44,34.0,2470.0,2326.0,1055.0,1.9038,470.986642253378,0.0,53,2.34,0.19,2
13.55,52.52,36.0,1856.0,822.0,416.0,2.3042,475.0,0.0,54,4.46,0.26,2
13.46,52.47,42.0,1413.0,1027.0,362.0,2.3625,406.0,0.0,55,3.9,0.29,2
13.44,52.53,27.0,1827.0,852.0,450.0,2.0901,509.0,0.0,56,4.06,0.28,2
13.41,52.54,24.0,2017.0,900.0,436.0,3.0,416.0,0.0,57,4.63,0.21,2
13.37,52.57,52.0,2170.0,1086.0,425.0,3.3715,428.0,0.0,58,5.11,0.2,3
13.13,52.54,46.0,1759.0,2716.0,877.0,2.1637,1012.0,0.0,59,5.202722298221614,0.20391541609822647,2
13.36,52.43,26.0,450.0,317.0,109.0,4.0,132.0,0.0,60,4.13,0.29,3
13.35,52.45,34.0,2892.0,903.0,365.0,3.605462907608696,413.0,0.0,61,7.92,0.14,3
13.39,52.39,43.0,2089.0,955.0,385.0,2.5898,399.0,0.0,62,5.43,0.19,2
13.37,52.42,41.0,734.0,565.0,191.0,2.2813,190.0,0.0,63,3.84,0.26,2
13.37,52.45,26.0,2424.0,974.0,375.0,4.739,388.0,0.0,64,6.46,0.16,3
13.49,52.47,36.0,361.0,169.0,62.0,3.7734,63.0,0.0,65,5.82,0.17,3
13.56,52.4,32.0,3616.0,2131.0,593.0,3.2879,631.0,0.0,66,6.1,0.17,3
13.27,52.44,43.0,1610.0,1409.0,365.0,1.7574,412.0,0.0,67,4.41,0.26,2
13.14,52.42,27.0,5144.0,2518.0,441.2774725274725,3.4836,470.986642253378,0.0,68,5.202722298221614,0.09,3
13.51,52.63,29.0,3078.0,1460.0,736.0,2.875,786.0,0.0,69,4.18,0.26,2
13.37,52.56,52.0,1759.0,980.0,402.0,4.0125,387.0,0.0,70,4.38,0.22,3
13.42,52.39,13.0,5451.0,2957.0,1081.0,2.6098,470.986642253378,0.0,71,5.04,0.09,2
13.57,52.41,12.0,3349.0,2029.0,619.0,2.9647,642.0,0.0,72,5.41,0.19,2
13.54,52.52,38.0,3779.0,1495.0,614.0,4.3529,614.0,0.0,73,6.15,0.16,3
