index,;longitude;latitude;f1;f2;f3;f4;f5;f6;t1
0;14,25;52,17;11;2403;890;344;3;497;120800
1;14,11;52,2;15;5644;2659;783;6,7559;757;312000
2;14,26;52,1;52;2084;1438;516;2,3087;550;258600
3;11,47;53,09;32;3011;1287;525;5,0605;529;311000
4;11,46;53,03;33;2824;1797;493;3,6359;523;135100
5;13,87;53,32;26;4115;2184;825;3,9536;883;191000
6;13,86;53,31;48;1252;673;308;2,3357;305;175000
7;13,41;52,36;32;1615;1307;345;1,4583;382;58600
8;13,47;52,16;27;2287;1101;466;4,675;491;316900
9;13,46;52,3;25;3807;1678;600;6,6818;600;411300
10;13,41;52,33;33;778;258;130;5,738;143;497600
11;13,44;52,22;11;2137;916;338;5,5221;339;394900
12;13,4;52,16;40;1361;559;229;6,3516;240;354300
13;13,43;52,29;35;1090;1605;330;2,1518;345;152800
14;13,54;52,27;11;7217;4197;1502;2,8827;1583;166700
15;13,45;52,21;37;1389;826;249;5,015;252;220900
16;13,54;52,26;22;1046;527;164;4,375;195;213500
17;13,43;52,36;35;2506;1316;398;3,8472;406;197600
18;12,34;52,61;17;3095;1173;424;13,2986;442;500001
19;12,31;52,52;36;1606;889;294;4,7931;318;272600
20;12,35;52,6;20;1176;864;318;2,375;344;177700
21;12,34;52,53;24;3956;3196;795;4,3512;812;191400
22;12,35;52,53;5;403;208;54;12,632;48;500001
23;12,34;52,6;49;3273;1431;539;4,275;579;227600
24;14,28;52,34;36;2959;1125;520;4,2614;529;268800
25;14,14;52,5;21;5477;3384;1222;3,6625;1275;228100
26;12,18;53,15;27;1887;1339;428;2,9185;487;224500
27;12,17;53,16;20;1511;791;320;2,0221;328;70900
28;12,17;53,15;46;1406;771;239;4,7143;235;219300
29;12,98;52,23;36;1520;831;291;4,0473;300;212100
30;13,11;52,39;40;1475;1222;298;1,5303;347;95300
31;13,03;52,31;34;3225;1958;656;3,6811;726;273000
32;12,99;52,35;28;1913;858;371;1,9962;486;50800
33;12,99;52,29;52;2232;731;253;7,1155;291;500001
34;12,84;52,25;25;1093;893;252;2,13;262;50800
35;13,23;51,69;26;812;628;445;2,3304;507;500001
36;13,24;51,58;31;1516;596;255;4,3362;238;159400
37;13,24;51,59;10;1088;533;201;3,6597;203;87500
38;13,12;51,48;16;0;830;279;3,25;296;151400
39;13,22;51,69;18;7798;3710;1227;5,8819;1161;260500
40;13,86;52,55;31;2358;2302;574;1,9688;580;53900
41;13,92;52,59;13;1939;928;244;8,1111;247;379800
42;13,88;52,58;46;928;790;235;1,6806;236;92500
43;13,82;52,54;35;1762;686;339;3,5982;350;271700
44;13,9;52,57;32;1083;471;178;2,9241;188;187500
45;13,87;52,56;34;1816;872;339;4,85;335;329400
46;13,79;52,53;38;1300;608;292;4,5568;269;286900
47;13,89;52,58;40;1867;2223;609;1,7207;633;105100
48;13,92;52,53;23;1932;997;482;3,662;552;211900
49;13,83;52,54;19;2364;1264;390;5,0176;373;274200
50;13,89;52,59;31;1939;1584;466;2,5234;505;199500
51;14,06;52,28;15;1701;723;352;3,8906;346;128700
52;14,06;52,29;25;2224;985;516;3,1305;580;268800
53;14,08;52,34;36;873;1086;217;2,25;240;126600
54;14,08;52,38;30;1762;940;398;2,8631;416;188600
55;14;52,22;9;4288;3156;900;2,7827;1017;105800
56;14,06;52,36;52;1252;844;0;2,3929;299;111900
57;13,93;52,25;8;864;626;172;4,8984;156;151500
58;14,07;52,37;30;1653;800;291;3,3482;285;220000
59;14,06;52,37;45;2005;909;364;4,6406;368;268900
60;14,07;52,38;34;1078;575;206;4,5083;205;188000
61;14,07;52,35;46;3745;1502;808;3,8643;798;195800
62;13,07;51,99;30;1715;842;263;3,0313;271;87900
63;13,08;51,99;22;4899;1701;826;5,2449;847;387000
64;14,55;52,55;18;2405;872;367;5,2155;390;248300
65;11,86;53,08;32;4040;2526;798;3,2143;832;160100
66;11,87;53,07;46;271;150;55;2,2321;74;237500
67;11,85;53,07;24;1605;1966;250;3,0833;277;162500
68;12,88;52,61;26;4931;2249;818;4,275;853;285400
69;12,87;52,6;36;3157;1842;561;4,5833;582;190700
70;12,88;52,6;30;1433;1110;346;2,3464;397;191700
71;12,94;52,55;22;1468;611;235;2,3036;285;73000
72;12,34;52,75;41;1512;1690;367;3,055;400;167000
73;12,45;52,85;36;2526;996;441;5,611;452;456600
74;13,88;51,94;34;1851;784;290;5,2336;291;235600
75;13,9;52,08;33;1177;1533;430;2,3981;468;183300
76;13,92;51,94;22;4982;2237;1220;3,7105;1358;272600
77;13,9;51,94;41;1440;1014;322;2,875;325;168600
78;13,7;52,11;33;2829;1010;363;10,3587;360;500001
79;13,88;51,95;16;4151;1558;604;5,806;637;304900
80;12,08;52,83;14;1463;881;245;4,7857;261;152500
81;12,07;52,82;23;1100;940;267;3,6953;285;150000
82;11,95;52,96;34;2578;1628;617;2,34;645;210900
83;12,09;52,91;27;1513;839;350;1,2012;374;64600
84;13,54;51,29;50;180;356;76;2,1944;89;158300
85;13,51;51,46;38;1460;569;176;2,7171;311;131300
86;13,52;51,46;26;2107;2821;572;0,844;809;350000
87;13,56;51,5;39;1529;1154;357;1,2091;358;97900
88;13,53;51,29;29;1315;926;249;2,9375;279;144800
89;13,45;51,41;52;1721;688;196;15,0001;195;500001
90;13,62;51,39;40;979;934;292;2,6354;296;151800
91;12,39;52,94;9;1150;377;243;3,8317;287;237500
92;12,4;52,94;30;2862;1387;542;5,1104;544;278100
93;12,46;52,89;26;1725;1130;404;3,2708;431;128100
94;12,58;52,74;33;2880;1416;736;2,6781;836;328800
95;12,29;52,27;36;1427;1835;410;2,48;415;138900
96;12,41;52,39;31;2567;1198;499;3,4659;;163000
97;12,38;52,38;16;8476;2711;1427;2,1848;1758;97900
98;12,46;52,5;11;2497;1101;405;4,8036;427;141600
99;13,43;51,87;2;6900;1950;980;3,0417;1238;146300
100;12,57;52,41;30;511;0;149;2,3611;153;156800
101;12,52;52,41;52;1813;637;277;4,0114;271;263400
102;12,55;52,43;33;2565;2301;638;2,5477;745;83000
103;12,61;52,41;22;1892;1015;404;4,1379;442;212500
104;12,57;52,4;38;1241;1055;263;2,3409;298;115500
105;12,52;52,44;0;3784;1615;525;4,2333;577;220300
106;12,56;52,41;52;2097;915;413;2,9899;444;228100
107;12,56;52,4;13;3239;2751;813;2,6111;849;107000
108;12,55;52,41;23;4911;1480;606;6,777;693;500000
109;12,5;52,43;9;2254;694;243;5,6856;400;138100
110;12,51;52,43;38;2065;812;343;3,125;374;216500
111;12,55;52,42;36;1181;775;218;4,7228;220;183800
112;12,49;53,16;36;1412;792;268;2,3056;260;90400
113;12,48;53,16;29;3110;1212;642;4,2031;650;394400
114;12,48;53,15;41;2036;1412;454;2,0469;510;89300
115;13,44;51,41;25;1321;396;278;3,1131;295;77100
