longitude,latitude,f1,f2,f3,f4,f5,f6,t1,id
14.25,52.17,11.0,2403.0,890.0,344.0,3.0,497.0,120800.0,1
14.11,52.2,15.0,5644.0,2659.0,783.0,6.7559,757.0,312000.0,2
14.26,52.1,52.0,2084.0,1438.0,516.0,2.3087,550.0,258600.0,3
11.47,53.09,32.0,3011.0,1287.0,525.0,5.0605,529.0,311000.0,4
11.46,53.03,33.0,2824.0,1797.0,493.0,3.6359,523.0,135100.0,5
13.87,53.32,26.0,4115.0,2184.0,825.0,3.9536,883.0,191000.0,6
13.86,53.31,48.0,1252.0,673.0,308.0,2.3357,305.0,175000.0,7
13.41,52.36,32.0,1615.0,1307.0,345.0,1.4583,382.0,58600.0,8
13.47,52.16,27.0,2287.0,1101.0,466.0,4.675,491.0,316900.0,9
13.46,52.3,25.0,3807.0,1678.0,600.0,6.6818,600.0,411300.0,10
13.41,52.33,33.0,778.0,258.0,130.0,5.738,143.0,191930.96528948846,11
13.44,52.22,11.0,2137.0,916.0,338.0,5.5221,339.0,394900.0,12
13.4,52.16,40.0,1361.0,559.0,229.0,6.3516,240.0,354300.0,13
13.43,52.29,35.0,1090.0,1605.0,330.0,2.1518,345.0,152800.0,14
13.54,52.27,11.0,2221.4102736512973,1225.2837321251593,430.14788333569305,2.8827,457.5068800028618,166700.0,15
13.45,52.21,37.0,1389.0,826.0,249.0,5.015,252.0,220900.0,16
13.54,52.26,22.0,1046.0,527.0,164.0,4.375,195.0,213500.0,17
13.43,52.36,35.0,2506.0,1316.0,398.0,3.8472,406.0,197600.0,18
12.34,52.61,17.0,3095.0,1173.0,424.0,3.665552516894221,442.0,191930.96528948846,19
12.31,52.52,36.0,1606.0,889.0,294.0,4.7931,318.0,272600.0,20
12.35,52.6,20.0,1176.0,864.0,318.0,2.375,344.0,177700.0,21
12.34,52.53,24.0,3956.0,1225.2837321251593,795.0,4.3512,812.0,191400.0,22
12.35,52.53,5.0,403.0,208.0,54.0,3.665552516894221,48.0,191930.96528948846,23
12.34,52.6,49.0,3273.0,1431.0,539.0,4.275,579.0,227600.0,24
14.28,52.34,36.0,2959.0,1125.0,520.0,4.2614,529.0,268800.0,25
14.14,52.5,21.0,5477.0,1225.2837321251593,430.14788333569305,3.6625,457.5068800028618,228100.0,26
12.18,53.15,27.0,1887.0,1339.0,428.0,2.9185,487.0,224500.0,27
12.17,53.16,20.0,1511.0,791.0,320.0,2.0221,328.0,70900.0,28
12.17,53.15,46.0,1406.0,771.0,239.0,4.7143,235.0,219300.0,29
12.98,52.23,36.0,1520.0,831.0,291.0,4.0473,300.0,212100.0,30
13.11,52.39,40.0,1475.0,1222.0,298.0,1.5303,347.0,95300.0,31
13.03,52.31,34.0,3225.0,1958.0,656.0,3.6811,726.0,273000.0,32
12.99,52.35,28.0,1913.0,858.0,371.0,1.9962,486.0,50800.0,33
12.99,52.29,52.0,2232.0,731.0,253.0,7.1155,291.0,191930.96528948846,34
12.84,52.25,25.0,1093.0,893.0,252.0,2.13,262.0,50800.0,35
13.23,51.69,26.0,812.0,628.0,445.0,2.3304,507.0,191930.96528948846,36
13.24,51.58,31.0,1516.0,596.0,255.0,4.3362,238.0,159400.0,37
13.24,51.59,10.0,1088.0,533.0,201.0,3.6597,203.0,87500.0,38
13.12,51.48,16.0,0.0,830.0,279.0,3.25,296.0,151400.0,39
13.22,51.69,18.0,2221.4102736512973,1225.2837321251593,430.14788333569305,5.8819,1161.0,260500.0,40
13.86,52.55,31.0,2358.0,2302.0,574.0,1.9688,580.0,53900.0,41
13.92,52.59,13.0,1939.0,928.0,244.0,3.665552516894221,247.0,379800.0,42
13.88,52.58,46.0,928.0,790.0,235.0,1.6806,236.0,92500.0,43
13.82,52.54,35.0,1762.0,686.0,339.0,3.5982,350.0,271700.0,44
13.9,52.57,32.0,1083.0,471.0,178.0,2.9241,188.0,187500.0,45
13.87,52.56,34.0,1816.0,872.0,339.0,4.85,335.0,329400.0,46
13.79,52.53,38.0,1300.0,608.0,292.0,4.5568,269.0,286900.0,47
13.89,52.58,40.0,1867.0,2223.0,609.0,1.7207,633.0,105100.0,48
13.92,52.53,23.0,1932.0,997.0,482.0,3.662,552.0,211900.0,49
13.83,52.54,19.0,2364.0,1264.0,390.0,5.0176,373.0,274200.0,50
13.89,52.59,31.0,1939.0,1584.0,466.0,2.5234,505.0,199500.0,51
14.06,52.28,15.0,1701.0,723.0,352.0,3.8906,346.0,128700.0,52
14.06,52.29,25.0,2224.0,985.0,516.0,3.1305,580.0,268800.0,53
14.08,52.34,36.0,873.0,1086.0,217.0,2.25,240.0,126600.0,54
14.08,52.38,30.0,1762.0,940.0,398.0,2.8631,416.0,188600.0,55
14.0,52.22,9.0,4288.0,1225.2837321251593,900.0,2.7827,1017.0,105800.0,56
14.06,52.36,52.0,1252.0,844.0,0.0,2.3929,299.0,111900.0,57
13.93,52.25,8.0,864.0,626.0,172.0,4.8984,156.0,151500.0,58
14.07,52.37,30.0,1653.0,800.0,291.0,3.3482,285.0,220000.0,59
14.06,52.37,45.0,2005.0,909.0,364.0,4.6406,368.0,268900.0,60
14.07,52.38,34.0,1078.0,575.0,206.0,4.5083,205.0,188000.0,61
14.07,52.35,46.0,3745.0,1502.0,808.0,3.8643,798.0,195800.0,62
13.07,51.99,30.0,1715.0,842.0,263.0,3.0313,271.0,87900.0,63
13.08,51.99,22.0,4899.0,1701.0,826.0,5.2449,847.0,387000.0,64
14.55,52.55,18.0,2405.0,872.0,367.0,5.2155,390.0,248300.0,65
11.86,53.08,32.0,4040.0,2526.0,798.0,3.2143,832.0,160100.0,66
11.87,53.07,46.0,271.0,150.0,55.0,2.2321,74.0,237500.0,67
11.85,53.07,24.0,1605.0,1966.0,250.0,3.0833,277.0,162500.0,68
12.88,52.61,26.0,4931.0,2249.0,818.0,4.275,853.0,285400.0,69
12.87,52.6,36.0,3157.0,1842.0,561.0,4.5833,582.0,190700.0,70
12.88,52.6,30.0,1433.0,1110.0,346.0,2.3464,397.0,191700.0,71
12.94,52.55,22.0,1468.0,611.0,235.0,2.3036,285.0,73000.0,72
12.34,52.75,41.0,1512.0,1690.0,367.0,3.055,400.0,167000.0,73
12.45,52.85,36.0,2526.0,996.0,441.0,5.611,452.0,456600.0,74
13.88,51.94,34.0,1851.0,784.0,290.0,5.2336,291.0,235600.0,75
13.9,52.08,33.0,1177.0,1533.0,430.0,2.3981,468.0,183300.0,76
13.92,51.94,22.0,4982.0,2237.0,430.14788333569305,3.7105,457.5068800028618,272600.0,77
13.9,51.94,41.0,1440.0,1014.0,322.0,2.875,325.0,168600.0,78
13.7,52.11,33.0,2829.0,1010.0,363.0,3.665552516894221,360.0,191930.96528948846,79
13.88,51.95,16.0,4151.0,1558.0,604.0,5.806,637.0,304900.0,80
12.08,52.83,14.0,1463.0,881.0,245.0,4.7857,261.0,152500.0,81
12.07,52.82,23.0,1100.0,940.0,267.0,3.6953,285.0,150000.0,82
11.95,52.96,34.0,2578.0,1628.0,617.0,2.34,645.0,210900.0,83
12.09,52.91,27.0,1513.0,839.0,350.0,1.2012,374.0,64600.0,84
13.54,51.29,50.0,180.0,356.0,76.0,2.1944,89.0,158300.0,85
13.51,51.46,38.0,1460.0,569.0,176.0,2.7171,311.0,131300.0,86
13.52,51.46,26.0,2107.0,2821.0,572.0,0.844,809.0,350000.0,87
13.56,51.5,39.0,1529.0,1154.0,357.0,1.2091,358.0,97900.0,88
13.53,51.29,29.0,1315.0,926.0,249.0,2.9375,279.0,144800.0,89
13.45,51.41,52.0,1721.0,688.0,196.0,3.665552516894221,195.0,191930.96528948846,90
13.62,51.39,40.0,979.0,934.0,292.0,2.6354,296.0,151800.0,91
12.39,52.94,9.0,1150.0,377.0,243.0,3.8317,287.0,237500.0,92
12.4,52.94,30.0,2862.0,1387.0,542.0,5.1104,544.0,278100.0,93
12.46,52.89,26.0,1725.0,1130.0,404.0,3.2708,431.0,128100.0,94
12.58,52.74,33.0,2880.0,1416.0,736.0,2.6781,836.0,328800.0,95
12.29,52.27,36.0,1427.0,1835.0,410.0,2.48,415.0,138900.0,96
12.41,52.39,31.0,2567.0,1198.0,499.0,3.4659,537.4777164400161,163000.0,97
12.38,52.38,16.0,2221.4102736512973,2711.0,430.14788333569305,2.1848,457.5068800028618,97900.0,98
12.46,52.5,11.0,2497.0,1101.0,405.0,4.8036,427.0,141600.0,99
13.43,51.87,2.0,2221.4102736512973,1950.0,980.0,3.0417,457.5068800028618,146300.0,100
12.57,52.41,30.0,511.0,0.0,149.0,2.3611,153.0,156800.0,101
12.52,52.41,52.0,1813.0,637.0,277.0,4.0114,271.0,263400.0,102
12.55,52.43,33.0,2565.0,2301.0,638.0,2.5477,745.0,83000.0,103
12.61,52.41,22.0,1892.0,1015.0,404.0,4.1379,442.0,212500.0,104
12.57,52.4,38.0,1241.0,1055.0,263.0,2.3409,298.0,115500.0,105
12.52,52.44,0.0,3784.0,1615.0,525.0,4.2333,577.0,220300.0,106
12.56,52.41,52.0,2097.0,915.0,413.0,2.9899,444.0,228100.0,107
12.56,52.4,13.0,3239.0,2751.0,813.0,2.6111,849.0,107000.0,108
