longitude,latitude,f1,f2,f3,f4,f5,f6,t1,id
13.28,52.63,34.0,3850.0,1619.0,602.0,5.0465,608.0,0.0,1
13.31,52.45,21.0,5041.0,2719.0,441.2774725274725,3.5335,470.98664225337797,0.0,2
13.39,52.4,52.0,1509.0,674.0,244.0,4.9306,225.0,0.0,3
13.46,52.59,42.0,1291.0,1535.0,332.0,1.9083,345.0,0.0,4
13.22,52.51,27.0,4742.0,1682.0,696.0,6.194,775.0,0.0,5
13.47,52.52,30.0,249.0,167.0,45.0,4.5,44.0,0.0,6
13.66,52.41,14.0,362.0,88.0,39.0,3.5893,78.0,0.0,7
13.43,52.5,52.0,2773.0,1721.0,949.0,1.1859,998.0,0.0,8
13.52,52.49,27.0,4336.0,2009.0,734.0,6.3923,754.0,0.0,9
13.39,52.53,23.0,1771.0,1105.0,338.0,3.7049,356.0,0.0,10
13.35,52.5,19.0,2885.0,1520.0,784.0,3.375,859.0,0.0,11
13.16,52.53,25.0,3472.0,2267.0,944.0,2.7727,956.0,0.0,12
13.18,52.51,36.0,1651.0,1062.0,331.0,4.575,344.0,0.0,13
13.15,52.53,16.0,3290.0,1497.0,655.0,2.6875,686.0,0.0,14
13.14,52.46,22.0,3294.0,1337.0,655.0,5.2391,744.0,0.0,15
13.34,52.43,26.0,1848.0,1952.0,327.0,4.087,339.0,0.0,16
13.37,52.46,52.0,3011.0,1303.0,535.0,5.1039,542.0,0.0,17
13.35,52.52,15.0,1448.0,949.0,300.0,0.8585,378.0,0.0,18
13.48,52.47,17.0,338.0,200.0,46.0,7.8118,47.0,0.0,19
13.59,52.51,12.0,5535.0,1255.2263374485597,441.2774725274725,2.5949,470.98664225337797,0.0,20
13.49,52.52,25.0,3011.0,893.0,654.0,2.3387,714.0,0.0,21
13.4,52.59,20.0,3118.0,1405.0,519.0,6.0,500.0,0.0,22
13.44,52.55,31.0,4033.0,2585.0,715.0,3.5096,715.0,0.0,23
13.17,52.52,18.0,3297.0,1554.0,578.0,2.6847,662.0,0.0,24
13.54,52.42,52.0,62.0,44.0,16.0,0.4999,9.0,0.0,25
13.29,52.47,38.0,1706.0,506.0,211.0,2.5625,355.0,0.0,26
13.21,52.44,16.0,3137.0,1384.0,436.0,6.1306,462.0,0.0,27
13.44,52.46,21.0,1283.0,684.0,289.0,2.3203,278.0,0.0,28
13.32,52.61,5.0,2133.0,1182.0,438.0,3.0268,487.0,0.0,29
13.33,52.59,30.0,2008.0,1052.0,496.0,3.0119,513.0,0.0,30
13.4,52.44,45.0,531.0,722.0,166.0,2.1406,164.0,0.0,31
13.58,52.45,37.0,1962.0,1267.0,382.0,4.7344,367.0,0.0,32
13.48,52.53,6.0,2301.9284731774414,1255.2263374485597,441.2774725274725,3.8661,470.98664225337797,0.0,33
13.54,52.54,28.0,590.0,315.0,99.0,1.8958,129.0,0.0,34
13.4,52.42,26.0,395.0,193.0,72.0,7.3718,74.0,0.0,35
13.46,52.44,24.0,1003.0,1098.0,227.0,1.7552,251.0,0.0,36
13.35,52.57,36.0,1599.0,1086.0,314.0,2.6667,345.0,0.0,37
13.32,52.41,27.0,1580.0,1066.0,306.0,4.7071,303.0,0.0,38
13.38,52.47,12.0,3098.0,1433.0,434.0,5.2508,453.0,0.0,39
13.37,52.51,20.0,2301.9284731774414,1255.2263374485597,441.2774725274725,3.7716,470.98664225337797,0.0,40
13.34,52.55,23.0,2111.0,979.0,288.0,3.6054629076086955,306.0,0.0,41
13.32,52.48,32.0,1814.0,903.0,306.0,4.1776,320.0,0.0,42
13.58,52.52,8.0,5278.0,2389.0,441.2774725274725,3.3409,470.98664225337797,0.0,43
13.48,52.54,10.0,2050.0,1302.0,471.0,2.7961,473.0,0.0,44
13.71,52.43,12.0,4011.0,1673.0,1088.0,5.3081,470.98664225337797,0.0,45
13.46,52.56,35.0,1051.0,517.0,234.0,3.7,259.0,0.0,46
13.45,52.5,14.0,5106.0,2738.0,441.2774725274725,3.9909,470.98664225337797,0.0,47
13.6,52.48,17.0,2358.0,1387.0,364.0,6.299,396.0,0.0,48
13.62,52.53,16.0,5648.0,2524.0,1008.0,2.6739,1089.0,0.0,49
13.49,52.54,16.0,952.0,530.0,143.0,5.0864,143.0,0.0,50
13.58,52.43,14.0,2928.0,1633.0,559.0,1.8385,600.0,0.0,51
13.57,52.45,45.0,1672.0,838.0,314.0,4.1419,344.0,0.0,52
13.57,52.44,34.0,2470.0,2326.0,1055.0,1.9038,470.98664225337797,0.0,53
13.55,52.52,36.0,1856.0,822.0,416.0,2.3042,475.0,0.0,54
13.46,52.47,42.0,1413.0,1027.0,362.0,2.3625,406.0,0.0,55
13.44,52.53,27.0,1827.0,852.0,450.0,2.0901,509.0,0.0,56
13.41,52.54,24.0,2017.0,900.0,436.0,3.0,416.0,0.0,57
13.37,52.57,52.0,2170.0,1086.0,425.0,3.3715,428.0,0.0,58
13.13,52.54,46.0,1759.0,2716.0,877.0,2.1637,1012.0,0.0,59
13.36,52.43,26.0,450.0,317.0,109.0,4.0,132.0,0.0,60
13.35,52.45,34.0,2892.0,903.0,365.0,3.6054629076086955,413.0,0.0,61
13.39,52.39,43.0,2089.0,955.0,385.0,2.5898,399.0,0.0,62
13.37,52.42,41.0,734.0,565.0,191.0,2.2813,190.0,0.0,63
13.37,52.45,26.0,2424.0,974.0,375.0,4.739,388.0,0.0,64
13.49,52.47,36.0,361.0,169.0,62.0,3.7734,63.0,0.0,65
13.56,52.4,32.0,3616.0,2131.0,593.0,3.2879,631.0,0.0,66
13.27,52.44,43.0,1610.0,1409.0,365.0,1.7574,412.0,0.0,67
13.14,52.42,27.0,5144.0,2518.0,441.2774725274725,3.4836,470.98664225337797,0.0,68
13.51,52.63,29.0,3078.0,1460.0,736.0,2.875,786.0,0.0,69
13.37,52.56,52.0,1759.0,980.0,402.0,4.0125,387.0,0.0,70
13.42,52.39,13.0,5451.0,2957.0,1081.0,2.6098,470.98664225337797,0.0,71
13.57,52.41,12.0,3349.0,2029.0,619.0,2.9647,642.0,0.0,72
13.54,52.52,38.0,3779.0,1495.0,614.0,4.3529,614.0,0.0,73
13.49,52.64,33.0,2318.0,1904.0,451.0,3.7454,464.0,0.0,74
13.27,52.52,22.0,2105.0,781.0,483.0,2.213,521.0,0.0,75
13.5,52.57,24.0,4534.0,2547.0,895.0,3.9575,967.0,0.0,76
13.57,52.53,35.0,2329.0,966.0,336.0,3.8839,399.0,0.0,77
13.36,52.59,34.0,3657.0,1513.0,562.0,5.2907,538.0,0.0,78
13.34,52.57,52.0,1548.0,1131.0,343.0,2.63,348.0,0.0,79
13.39,52.56,44.0,3494.0,693.0,415.0,3.6,635.0,0.0,80
13.16,52.42,14.0,810.0,302.0,138.0,3.1094,151.0,0.0,81
13.38,52.5,28.0,4112.0,1255.2263374485597,841.0,4.4539,861.0,0.0,82
13.36,52.52,35.0,1447.0,1630.0,306.0,2.9205,335.0,0.0,83
13.36,52.56,41.0,2237.0,938.0,523.0,4.7105,597.0,0.0,84
13.36,52.54,37.0,2386.0,1101.0,399.0,4.6908,409.0,0.0,85
13.32,52.53,24.0,1807.0,1460.0,410.0,1.4786,465.0,0.0,86
13.35,52.51,52.0,1041.0,558.0,231.0,1.9236,252.0,0.0,87
13.38,52.57,52.0,1595.0,823.0,302.0,3.2188,325.0,0.0,88
13.34,52.56,15.0,989.0,406.0,151.0,3.1771,184.0,0.0,89
13.48,52.49,24.0,4865.0,2315.0,893.0,4.2852,968.0,0.0,90
13.4,52.49,20.0,2851.0,1192.0,463.0,5.8752,490.0,0.0,91
13.4,52.5,5.0,2693.0,1785.0,491.0,3.0,508.0,0.0,92
13.46,52.5,35.0,2316.0,849.0,378.0,4.3816,387.0,0.0,93
13.45,52.54,16.0,1245.0,956.0,219.0,3.4559,231.0,0.0,94
13.48,52.55,38.0,1764.0,987.0,354.0,2.4333,397.0,0.0,95
13.48,52.56,52.0,2301.9284731774414,1255.2263374485597,441.2774725274725,1.724,470.98664225337797,0.0,96
13.45,52.59,48.0,1301.0,637.0,260.0,4.3438,253.0,0.0,97
13.44,52.57,33.0,142.0,575.0,47.0,3.875,31.0,0.0,98
13.48,52.61,36.0,3005.0,2054.0,758.0,2.0437,771.0,0.0,99
