index;longitude;latitude;f1;f2;f3;f4;f5;f6;t1
0;13,28;52,63;34;3850;1619;602;5,0465;608;0
1;13,31;52,45;21;5041;2719;1420;3,5335;1491;0
2;13,39;52,4;52;1509;674;244;4,9306;225;0
3;13,46;52,59;42;1291;1535;332;1,9083;345;0
4;13,22;52,51;27;4742;1682;696;6,194;775;0
5;13,47;52,52;30;249;167;45;4,5;44;0
6;13,66;52,41;14;362;88;39;3,5893;78;0
7;13,43;52,5;52;2773;1721;949;1,1859;998;0
8;13,52;52,49;27;4336;2009;734;6,3923;754;0
9;13,39;52,53;23;1771;1105;338;3,7049;356;0
10;13,35;52,5;19;2885;1520;784;3,375;859;0
11;13,16;52,53;25;3472;2267;944;2,7727;956;0
12;13,18;52,51;36;1651;1062;331;4,575;344;0
13;13,15;52,53;16;3290;1497;655;2,6875;686;0
14;13,14;52,46;22;3294;1337;655;5,2391;744;0
15;13,34;52,43;26;1848;1952;327;4,087;339;0
16;13,37;52,46;52;3011;1303;535;5,1039;542;0
17;13,35;52,52;15;1448;949;300;0,8585;378;0
18;13,48;52,47;17;338;200;46;7,8118;47;0
19;13,59;52,51;12;5535;3112;1262;2,5949;1434;0
20;13,49;52,52;25;3011;893;654;2,3387;714;0
21;13,4;52,59;20;3118;1405;519;6;500;0
22;13,44;52,55;31;4033;2585;715;3,5096;715;0
23;13,17;52,52;18;3297;1554;578;2,6847;662;0
24;13,54;52,42;52;62;44;16;0,4999;9;0
25;13,29;52,47;38;1706;506;211;2,5625;355;0
26;13,21;52,44;16;3137;1384;436;6,1306;462;0
27;13,44;52,46;21;1283;684;289;2,3203;278;0
28;13,32;52,61;5;2133;1182;438;3,0268;487;0
29;13,33;52,59;30;2008;1052;496;3,0119;513;0
30;13,4;52,44;45;531;722;166;2,1406;164;0
31;13,58;52,45;37;1962;1267;382;4,7344;367;0
32;13,48;52,53;6;12779;6085;2157;3,8661;2441;0
33;13,54;52,54;28;590;315;99;1,8958;129;0
34;13,4;52,42;26;395;193;72;7,3718;74;0
35;13,46;52,44;24;1003;1098;227;1,7552;251;0
36;13,35;52,57;36;1599;1086;314;2,6667;345;0
37;13,32;52,41;27;1580;1066;306;4,7071;303;0
38;13,38;52,47;12;3098;1433;434;5,2508;453;0
39;13,37;52,51;20;6678;3625;1599;3,7716;1797;0
40;13,34;52,55;23;2111;979;288;8,5621;306;0
41;13,32;52,48;32;1814;903;306;4,1776;320;0
42;13,58;52,52;8;5278;2389;1371;3,3409;1575;0
43;13,48;52,54;10;2050;1302;471;2,7961;473;0
44;13,71;52,43;12;4011;1673;1088;5,3081;1438;0
45;13,46;52,56;35;1051;517;234;3,7;259;0
46;13,45;52,5;14;5106;2738;1108;3,9909;1207;0
47;13,6;52,48;17;2358;1387;364;6,299;396;0
48;13,62;52,53;16;5648;2524;1008;2,6739;1089;0
49;13,49;52,54;16;952;530;143;5,0864;143;0
50;13,58;52,43;14;2928;1633;559;1,8385;600;0
51;13,57;52,45;45;1672;838;314;4,1419;344;0
52;13,57;52,44;34;2470;2326;1055;1,9038;1197;0
53;13,55;52,52;36;1856;822;416;2,3042;475;0
54;13,46;52,47;42;1413;1027;362;2,3625;406;0
55;13,44;52,53;27;1827;852;450;2,0901;509;0
56;13,41;52,54;24;2017;900;436;3;416;0
57;13,37;52,57;52;2170;1086;425;3,3715;428;0
58;13,13;52,54;46;1759;2716;877;2,1637;1012;0
59;13,36;52,43;26;450;317;109;4;132;0
60;13,35;52,45;34;2892;903;365;7,8711;413;0
61;13,39;52,39;43;2089;955;385;2,5898;399;0
62;13,37;52,42;41;734;565;191;2,2813;190;0
63;13,37;52,45;26;2424;974;375;4,739;388;0
64;13,49;52,47;36;361;169;62;3,7734;63;0
65;13,56;52,4;32;3616;2131;593;3,2879;631;0
66;13,27;52,44;43;1610;1409;365;1,7574;412;0
67;13,14;52,42;27;5144;2518;1447;3,4836;1481;0
68;13,51;52,63;29;3078;1460;736;2,875;786;0
69;13,37;52,56;52;1759;980;402;4,0125;387;0
70;13,42;52,39;13;5451;2957;1081;2,6098;1194;0
71;13,57;52,41;12;3349;2029;619;2,9647;642;0
72;13,54;52,52;38;3779;1495;614;4,3529;614;0
73;13,49;52,64;33;2318;1904;451;3,7454;464;0
74;13,27;52,52;22;2105;781;483;2,213;521;0
75;13,5;52,57;24;4534;2547;895;3,9575;967;0
76;13,57;52,53;35;2329;966;336;3,8839;399;0
77;13,36;52,59;34;3657;1513;562;5,2907;538;0
78;13,34;52,57;52;1548;1131;343;2,63;348;0
79;13,39;52,56;44;3494;693;415;3,6;635;0
80;13,16;52,42;14;810;302;138;3,1094;151;0
81;13,38;52,5;28;4112;3211;841;4,4539;861;0
82;13,36;52,52;35;1447;1630;306;2,9205;335;0
83;13,36;52,56;41;2237;938;523;4,7105;597;0
84;13,36;52,54;37;2386;1101;399;4,6908;409;0
85;13,32;52,53;24;1807;1460;410;1,4786;465;0
86;13,35;52,51;52;1041;558;231;1,9236;252;0
87;13,38;52,57;52;1595;823;302;3,2188;325;0
88;13,34;52,56;15;989;406;151;3,1771;184;0
89;13,48;52,49;24;4865;2315;893;4,2852;968;0
90;13,4;52,49;20;2851;1192;463;5,8752;490;0
91;13,4;52,5;5;2693;1785;491;3;508;0
92;13,46;52,5;35;2316;849;378;4,3816;387;0
93;13,45;52,54;16;1245;956;219;3,4559;231;0
94;13,48;52,55;38;1764;987;354;2,4333;397;0
95;13,48;52,56;52;5783;4518;2538;1,724;2747;0
96;13,45;52,59;48;1301;637;260;4,3438;253;0
97;13,44;52,57;33;142;575;47;3,875;31;0
98;13,48;52,61;36;3005;2054;758;2,0437;771;0
